LS,HS,Year,Round,High Seed,Low Seed,Spread,FavScore,DawgScore,Site,Distance from LS,Distance from HS,,,,,,,,,,,,,,,,,
5,12,2018,R64,Kentucky,Davidson,-7,78,73,Boise ID,1690,1949,,,,,,,,,,,,,,,,,
4,13,2018,R64,Arizona,Buffalo,-9,68,89,Boise ID,837,1862,,,,,,,,,,,,,,,,,
6,11,2018,R64,Miami FL,Loyola Chicago,-3,62,64,Dallas TX,1100,810,,,,,,,,,,,,,,,,,
3,14,2018,R64,Tennessee,Wright State,-12,73,47,Dallas TX,765,857,,,,,,,,,,,,,,,,,
7,10,2018,R64,Nevada,Texas,-1,87,83,Nashville TN,1807,751,,,,,,,,,,,,,,,,,
2,15,2018,R64,Cincinnati,Georgia State,-16.5,68,53,Nashville TN,240,215,,,,,,,,,,,,,,,,,
1,16,2018,R64,Xavier,Texas Southern,-19.5,102,83,Nashville TN,242,667,,,,,,,,,,,,,,,,,
8,9,2018,R64,Missouri,Florida State,-1.5,54,67,Nashville TN,360,420,,,,,,,,,,,,,,,,,
5,12,2018,R64,Ohio State,South Dakota State,-7,81,73,Boise ID,1715,964,,,,,,,,,,,,,,,,,
4,13,2018,R64,Gonzaga,UNC Greensboro,-12,68,64,Boise ID,286,1983,,,,,,,,,,,,,,,,,
6,11,2018,R64,Houston,San Diego State,-3.5,67,65,Wichita KS,562,1162,,,,,,,,,,,,,,,,,
3,14,2018,R64,Michigan,Montana,-12,61,47,Wichita KS,785,1058,,,,,,,,,,,,,,,,,
7,10,2018,R64,Texas A&M,Providence,-3.5,73,69,Charlotte NC,952,683,,,,,,,,,,,,,,,,,
2,15,2018,R64,North Carolina,Lipscomb,-22,84,66,Charlotte NC,111,340,,,,,,,,,,,,,,,,,
1,16,2017,R64,Villanova,Mount St. Mary's,-27,76,56,Buffalo NY,269,241,,,,,,,,,,,,,,,,,
8,9,2017,R64,Wisconsin,Virginia Tech,-5,84,74,Buffalo NY,532,399,,,,,,,,,,,,,,,,,
